measure,node,period_start,value,n,source_ref
osha_lost_time_case_rate,NN,2008-10-01,0.17,18403,osha:fy2009
osha_lost_time_case_rate,NQ,2008-10-01,2.27,3213,osha:fy2009
osha_lost_time_case_rate,NU,2008-10-01,0.34,4088,osha:fy2009
osha_lost_time_case_rate,NV,2008-10-01,1.44,182862,osha:fy2009
osha_lost_time_case_rate,NV,2008-10-01,1.3,164293,osha:fy2009
osha_lost_time_case_rate,OM,2008-10-01,0.59,5419,osha:fy2009
osha_lost_time_case_rate,SB,2008-10-01,0.49,4501,osha:fy2009
osha_lost_time_case_rate,ST,2008-10-01,0.52,36426,osha:fy2009
osha_lost_time_case_rate,SZ,2008-10-01,0.82,63484,osha:fy2009
osha_lost_time_case_rate,TD,2008-10-01,0.98,55839,osha:fy2009
osha_lost_time_case_rate,TR,2008-10-01,0.73,107747,osha:fy2009
osha_total_case_rate,AF,2008-10-01,2.73,154860,osha:fy2009
osha_total_case_rate,AG,2008-10-01,5.5,92371,osha:fy2009
osha_total_case_rate,AR,2008-10-01,3.02,265582,osha:fy2009
osha_total_case_rate,CM,2008-10-01,2.36,74305,osha:fy2009
osha_total_case_rate,DJ,2008-10-01,4.14,110231,osha:fy2009
osha_total_case_rate,DL,2008-10-01,1.99,16154,osha:fy2009
osha_total_case_rate,DN,2008-10-01,1.66,15346,osha:fy2009
osha_total_case_rate,ED,2008-10-01,1.0,4113,osha:fy2009
osha_total_case_rate,EP,2008-10-01,0.62,18153,osha:fy2009
osha_total_case_rate,GS,2008-10-01,1.06,12003,osha:fy2009
osha_total_case_rate,HE,2008-10-01,1.43,64311,osha:fy2009
osha_total_case_rate,HU,2008-10-01,0.77,9565,osha:fy2009
osha_total_case_rate,IN,2008-10-01,6.03,71536,osha:fy2009
osha_total_case_rate,NF,2008-10-01,0.5,1408,osha:fy2009
osha_total_case_rate,NN,2008-10-01,0.48,18403,osha:fy2009
osha_total_case_rate,NQ,2008-10-01,4.51,3213,osha:fy2009
osha_total_case_rate,NU,2008-10-01,0.51,4088,osha:fy2009
osha_total_case_rate,NV,2008-10-01,2.77,182862,osha:fy2009
osha_total_case_rate,NV,2008-10-01,2.65,164293,osha:fy2009
osha_total_case_rate,OM,2008-10-01,1.18,5419,osha:fy2009
osha_total_case_rate,SB,2008-10-01,1.27,4501,osha:fy2009
osha_total_case_rate,ST,2008-10-01,1.02,36426,osha:fy2009
osha_total_case_rate,SZ,2008-10-01,1.27,63484,osha:fy2009
osha_total_case_rate,TD,2008-10-01,1.64,55839,osha:fy2009
osha_total_case_rate,TR,2008-10-01,1.22,107747,osha:fy2009
osha_lost_time_case_rate,AF,2009-10-01,1.43,170534,osha:fy2010
osha_lost_time_case_rate,AG,2009-10-01,1.41,111987,osha:fy2010
osha_lost_time_case_rate,AR,2009-10-01,1.44,288333,osha:fy2010
osha_lost_time_case_rate,CM,2009-10-01,3.27,52063,osha:fy2010
osha_lost_time_case_rate,DJ,2009-10-01,2.28,115299,osha:fy2010
osha_lost_time_case_rate,DL,2009-10-01,0.9,16483,osha:fy2010
osha_lost_time_case_rate,DN,2009-10-01,0.53,16650,osha:fy2010
osha_lost_time_case_rate,ED,2009-10-01,0.55,4343,osha:fy2010
osha_lost_time_case_rate,EP,2009-10-01,0.33,18835,osha:fy2010
osha_lost_time_case_rate,GS,2009-10-01,0.62,12827,osha:fy2010
osha_lost_time_case_rate,HE,2009-10-01,0.67,82129,osha:fy2010
osha_lost_time_case_rate,HS,2009-10-01,2.53,186797,osha:fy2010
osha_lost_time_case_rate,HU,2009-10-01,0.45,9742,osha:fy2010
osha_lost_time_case_rate,IN,2009-10-01,1.91,81796,osha:fy2010
osha_lost_time_case_rate,NF,2009-10-01,0.2,1527,osha:fy2010
osha_lost_time_case_rate,NN,2009-10-01,0.2,18692,osha:fy2010
osha_lost_time_case_rate,NQ,2009-10-01,1.86,3599,osha:fy2010
osha_lost_time_case_rate,NU,2009-10-01,0.24,4234,osha:fy2010
osha_lost_time_case_rate,NV,2009-10-01,1.37,195445,osha:fy2010
osha_lost_time_case_rate,NV,2009-10-01,1.22,175405,osha:fy2010
osha_lost_time_case_rate,OM,2009-10-01,0.7,6031,osha:fy2010
osha_lost_time_case_rate,SB,2009-10-01,0.54,4221,osha:fy2010
osha_lost_time_case_rate,SM,2009-10-01,1.72,5010,osha:fy2010
osha_lost_time_case_rate,ST,2009-10-01,0.47,36762,osha:fy2010
osha_lost_time_case_rate,SZ,2009-10-01,0.74,69600,osha:fy2010
osha_lost_time_case_rate,TD,2009-10-01,0.95,57819,osha:fy2010
osha_lost_time_case_rate,TR,2009-10-01,0.68,116375,osha:fy2010
osha_lost_time_case_rate,VA,2009-10-01,1.7,304559,osha:fy2010
osha_total_case_rate,AF,2009-10-01,2.47,170534,osha:fy2010
osha_total_case_rate,AG,2009-10-01,4.4,111987,osha:fy2010
osha_total_case_rate,AR,2009-10-01,2.76,288333,osha:fy2010
osha_total_case_rate,CM,2009-10-01,8.19,52063,osha:fy2010
