year,agency,n_resp,wt_sum,eei,eei_leaders,eei_supervisors,eei_intrinsic,gsi,pci,exi,pp_recommend,pp_job_sat,pp_pay_sat,pp_org_sat,pp_encouraged,pp_workload,pp_skills,pp_perf_diff,pp_sat_recog,pp_recog_quality,leave_no,leave_other,leave_within,leave_outside,leave_any,leave_n_valid,leave_missing_pct,leave2020pre_other,leave2020pre_within,leave2020pre_outside
2020,CM,21310,37656.8,76.04,65.46,84.35,78.31,73.71,,,77.63,75.83,69.64,71.74,66.29,62.79,74.29,57.57,63.07,70.18,80.29,8.88,8.01,2.83,19.71,19856,6.82,6.83,7.64,2.39
2020,CU,926,1068.9,76.46,68.05,84.1,77.23,77.58,,,82.54,77.64,72.37,77.79,65.85,65.73,77.42,54.85,59.64,67.53,83.02,8.16,6.75,2.07,16.98,878,5.18,7.09,7.77,2.04
2020,DD,36435,90175.0,73.89,64.3,80.35,77.03,71.47,,,72.38,73.4,71.07,69.05,68.77,69.86,71.34,54.79,61.05,66.87,63.45,10.87,23.02,2.66,36.55,32806,9.96,8.58,21.35,1.77
2020,DJ,29013,106362.5,68.8,56.55,77.18,72.67,67.25,,,69.4,69.46,66.52,63.61,60.95,67.22,66.53,47.57,57.03,60.51,64.12,12.1,17.4,6.38,35.88,25270,12.9,9.1,15.01,3.91
2020,DL,7187,12993.5,72.55,62.11,80.28,75.26,69.84,,,69.29,72.19,70.97,66.9,64.99,63.5,67.39,55.18,60.43,66.16,69.92,10.47,16.66,2.95,30.08,6513,9.38,8.81,15.96,2.3
2020,DN,8904,11613.6,77.1,66.68,84.88,79.73,75.14,,,76.88,77.07,73.68,72.92,74.41,66.78,77.56,57.15,67.02,71.66,74.32,11.2,11.02,3.46,25.68,8353,6.19,9.5,10.63,2.92
2020,DR,1148,1369.6,85.41,81.3,91.03,83.91,84.48,,,90.31,84.97,76.54,86.08,75.05,76.97,85.76,70.42,80.65,83.86,78.85,8.87,7.98,4.3,21.15,1101,4.09,7.82,8.69,4.58
2020,ED,2367,3304.7,69.57,53.27,82.55,72.88,60.95,,,54.44,66.3,68.13,54.94,63.64,57.69,67.17,53.75,57.74,63.45,68.93,9.91,16.83,4.33,31.07,2177,8.03,9.63,18.73,4.58
2020,EE,1311,1875.6,76.85,68.32,82.62,79.61,72.61,,,72.96,76.16,69.93,71.41,68.32,62.45,72.56,60.54,68.65,72.11,74.63,9.93,12.64,2.8,25.37,1195,8.85,8.82,12.84,2.39
2020,EP,8115,13114.8,73.41,56.35,85.74,78.16,70.03,,,70.78,72.49,75.04,61.82,73.06,62.04,74.18,58.88,68.08,73.95,74.2,12.59,9.71,3.51,25.8,7525,7.27,9.64,9.24,2.38
2020,GS,7332,10604.9,83.44,78.07,89.0,83.24,82.4,,,86.27,82.39,78.04,82.89,79.16,72.97,83.32,63.87,72.0,78.25,80.18,7.66,10.69,1.47,19.82,6806,7.17,7.08,10.58,1.43
2020,HE,50393,73861.9,76.48,67.55,81.95,79.95,74.06,,,77.24,76.59,69.8,72.59,72.86,67.58,75.83,57.1,64.34,70.67,75.65,8.8,12.1,3.44,24.35,46784,7.16,7.08,11.21,2.27
2020,HS,84704,185448.3,66.47,53.78,76.57,69.05,61.12,,,62.03,65.34,59.93,57.18,54.15,69.99,61.06,43.56,49.61,53.34,65.73,10.55,19.88,3.84,34.27,77402,8.62,8.16,17.29,2.44
2020,HU,4509,6892.3,74.8,64.09,82.77,77.53,72.69,,,69.34,76.04,75.73,69.65,71.41,67.46,75.04,58.06,67.26,71.0,73.46,10.15,14.08,2.32,26.54,4088,9.34,9.22,14.15,2.06
2020,IN,26114,46274.7,69.43,52.58,79.98,75.74,67.32,,,69.48,70.8,66.29,62.73,69.51,58.65,71.94,50.94,60.01,65.39,69.63,11.79,15.34,3.25,30.37,24036,7.96,9.86,14.1,2.17
2020,NF,927,1210.7,82.66,77.0,86.51,84.46,82.38,,,86.51,82.06,77.31,83.63,81.6,58.41,85.46,63.06,75.63,82.17,77.28,10.06,10.49,2.16,22.72,858,7.44,8.51,12.78,3.29
2020,NL,776,1202.3,66.89,50.67,81.98,68.0,56.74,,,53.37,65.13,60.15,48.31,48.99,57.47,61.96,55.96,61.78,63.43,74.81,12.6,7.27,5.31,25.19,685,11.73,11.08,8.15,4.35
2020,NN,10588,16809.0,86.59,80.69,91.32,87.77,84.46,,,90.07,85.85,77.84,84.09,86.59,69.73,87.32,70.17,79.04,86.19,82.56,9.71,5.1,2.62,17.44,10002,5.53,7.92,4.68,2.26
2020,NQ,1494,2394.4,76.44,64.57,85.33,79.43,68.6,,,67.05,75.36,64.0,68.01,72.73,72.32,74.04,60.88,67.01,72.9,73.48,8.42,15.77,2.33,26.52,1376,7.9,8.8,17.63,2.53
2020,NU,2166,2688.4,77.81,69.17,84.89,79.38,74.98,,,76.62,74.98,75.97,72.34,76.08,70.21,75.8,58.43,68.2,77.93,74.78,12.35,9.52,3.35,25.22,2034,6.09,10.32,11.04,3.1
2020,NV,52153,200463.2,74.11,63.93,81.76,76.64,69.63,,,72.27,72.08,67.92,66.24,70.17,68.7,72.18,52.12,60.17,67.43,61.79,11.7,22.11,4.4,38.21,47067,9.75,9.25,19.67,3.13
2020,OM,1343,2342.6,76.4,63.87,86.37,78.97,72.16,,,69.98,74.96,74.41,69.28,71.37,67.8,71.26,56.78,62.99,66.9,69.72,9.36,17.94,2.98,30.28,1232,8.27,7.72,17.44,1.97
2020,SB,1333,1975.6,73.3,61.8,79.59,78.5,72.07,,,68.29,76.3,73.82,69.86,69.79,66.59,69.41,54.68,64.26,66.68,68.3,10.07,18.86,2.76,31.7,1204,9.68,9.46,16.99,1.61
2020,ST,10933,22634.5,71.91,56.49,83.31,75.94,67.08,,,69.94,68.93,70.19,59.26,69.69,62.29,73.88,51.03,58.75,69.33,72.57,11.88,8.92,6.63,27.43,9951,8.98,8.49,8.66,4.97
2020,SZ,28651,58943.9,68.36,58.97,74.51,71.6,65.25,,,65.35,66.58,67.03,62.06,55.36,53.58,59.11,42.07,53.2,57.98,74.55,9.82,12.81,2.82,25.45,24809,13.41,8.15,12.84,2.45
2020,TD,22246,51155.4,75.77,64.95,83.82,78.54,74.36,,,79.21,77.82,68.35,72.05,70.71,70.74,74.2,53.97,64.96,69.06,77.9,10.1,9.73,2.28,22.1,20673,7.07,8.27,8.97,2.04
2020,TR,40347,73434.2,74.99,65.46,82.99,76.53,71.23,,,74.28,74.86,66.75,69.02,66.52,66.86,71.49,54.34,63.23,65.89,76.27,11.4,10.35,1.98,23.73,36242,10.17,9.66,9.27,1.59
2020,XX,8948,14074.6,74.82,63.88,82.48,78.11,71.18,,,72.09,74.87,67.91,69.85,70.37,69.03,73.24,56.26,64.56,69.45,73.18,9.99,12.84,3.98,26.82,7572,15.38,7.68,12.77,3.43
2021,AF,13848,186804.9,72.11,62.52,79.72,74.1,63.12,83.72,,66.7,66.17,57.94,61.67,68.69,65.3,69.72,53.15,56.34,65.21,52.0,17.75,23.78,6.48,48.0,12596,9.04,,,
2021,AG,20634,99989.2,70.07,55.35,81.98,72.87,59.3,85.68,,64.07,64.66,52.96,55.51,63.46,53.45,68.13,47.27,53.3,58.02,65.83,15.15,10.98,8.04,34.17,19571,5.15,,,
2021,ALL,292520,1698731.7,70.99,60.02,79.83,73.11,63.85,84.48,,66.55,66.73,61.17,60.97,64.45,62.18,68.21,50.49,57.03,62.71,61.72,14.78,17.84,5.66,38.28,273309,6.57,,,
2021,AM,1625,3879.3,74.7,66.06,84.02,74.03,68.55,87.23,,72.81,68.64,65.39,67.37,68.51,50.08,73.64,52.27,58.48,71.56,71.84,10.1,11.5,6.56,28.16,1530,5.85,,,
2021,AR,35772,238441.5,70.23,59.75,77.83,73.11,63.29,83.45,,65.28,66.35,61.16,60.36,65.99,64.43,67.14,47.84,54.28,60.46,54.4,16.81,23.72,5.06,45.6,33639,5.96,,,
2021,CM,9568,47073.2,76.46,66.72,84.6,78.05,71.13,89.43,,76.79,73.7,63.22,70.83,67.23,62.08,74.72,58.56,64.03,70.84,75.52,11.47,8.56,4.45,24.48,9142,4.45,,,
2021,CU,867,1090.9,76.89,69.15,85.49,76.03,73.01,89.52,,79.13,74.44,64.28,74.17,64.85,55.59,75.48,54.57,63.86,67.68,75.45,12.07,8.26,4.23,24.55,832,4.04,,,
2021,DD,17055,106250.7,72.71,63.12,80.03,74.98,68.31,85.62,,69.56,69.81,68.99,64.87,67.24,64.77,70.43,54.88,59.4,65.49,60.44,14.28,21.68,3.6,39.56,16033,5.99,,,
