measure,node,period_start,value,n,source_ref
fevs_leave_outside,DD27,2019-01-01,5.5,1056,fevs:2019-prdf-level1
fevs_leave_within,DD27,2019-01-01,26.4,1056,fevs:2019-prdf-level1
fevs_engagement,DD34,2019-01-01,59.9,2115,fevs:2019-prdf-level1
fevs_leave_any,DD34,2019-01-01,44.1,2115,fevs:2019-prdf-level1
fevs_leave_other,DD34,2019-01-01,14.5,2115,fevs:2019-prdf-level1
fevs_leave_outside,DD34,2019-01-01,2.4,2115,fevs:2019-prdf-level1
fevs_leave_within,DD34,2019-01-01,27.3,2115,fevs:2019-prdf-level1
fevs_engagement,DD35,2019-01-01,73.8,5221,fevs:2019-prdf-level1
fevs_leave_any,DD35,2019-01-01,30.2,5221,fevs:2019-prdf-level1
fevs_leave_other,DD35,2019-01-01,8.3,5221,fevs:2019-prdf-level1
fevs_leave_outside,DD35,2019-01-01,2.1,5221,fevs:2019-prdf-level1
fevs_leave_within,DD35,2019-01-01,19.8,5221,fevs:2019-prdf-level1
fevs_engagement,DD48,2019-01-01,70.1,606,fevs:2019-prdf-level1
fevs_leave_any,DD48,2019-01-01,44.1,606,fevs:2019-prdf-level1
fevs_leave_other,DD48,2019-01-01,11.8,606,fevs:2019-prdf-level1
fevs_leave_outside,DD48,2019-01-01,3.5,606,fevs:2019-prdf-level1
fevs_leave_within,DD48,2019-01-01,28.8,606,fevs:2019-prdf-level1
fevs_engagement,DD60,2019-01-01,66.8,2064,fevs:2019-prdf-level1
fevs_leave_any,DD60,2019-01-01,43.2,2064,fevs:2019-prdf-level1
fevs_leave_other,DD60,2019-01-01,12.0,2064,fevs:2019-prdf-level1
fevs_leave_outside,DD60,2019-01-01,3.3,2064,fevs:2019-prdf-level1
fevs_leave_within,DD60,2019-01-01,28.0,2064,fevs:2019-prdf-level1
fevs_engagement,DD61,2019-01-01,69.8,635,fevs:2019-prdf-level1
fevs_leave_any,DD61,2019-01-01,49.3,635,fevs:2019-prdf-level1
fevs_leave_other,DD61,2019-01-01,10.0,635,fevs:2019-prdf-level1
fevs_leave_outside,DD61,2019-01-01,4.0,635,fevs:2019-prdf-level1
fevs_leave_within,DD61,2019-01-01,35.3,635,fevs:2019-prdf-level1
fevs_engagement,DD63,2019-01-01,73.8,4296,fevs:2019-prdf-level1
fevs_leave_any,DD63,2019-01-01,37.9,4296,fevs:2019-prdf-level1
fevs_leave_other,DD63,2019-01-01,10.0,4296,fevs:2019-prdf-level1
fevs_leave_outside,DD63,2019-01-01,3.1,4296,fevs:2019-prdf-level1
fevs_leave_within,DD63,2019-01-01,24.8,4296,fevs:2019-prdf-level1
fevs_engagement,DJ02,2019-01-01,68.9,4627,fevs:2019-prdf-level1
fevs_leave_any,DJ02,2019-01-01,28.8,4627,fevs:2019-prdf-level1
fevs_leave_other,DJ02,2019-01-01,10.3,4627,fevs:2019-prdf-level1
fevs_leave_outside,DJ02,2019-01-01,7.5,4627,fevs:2019-prdf-level1
fevs_leave_within,DJ02,2019-01-01,11.0,4627,fevs:2019-prdf-level1
fevs_engagement,DJ03,2019-01-01,60.3,7562,fevs:2019-prdf-level1
fevs_leave_any,DJ03,2019-01-01,31.8,7562,fevs:2019-prdf-level1
fevs_leave_other,DJ03,2019-01-01,10.7,7562,fevs:2019-prdf-level1
fevs_leave_outside,DJ03,2019-01-01,4.8,7562,fevs:2019-prdf-level1
fevs_leave_within,DJ03,2019-01-01,16.3,7562,fevs:2019-prdf-level1
fevs_engagement,DJ06,2019-01-01,72.5,2625,fevs:2019-prdf-level1
fevs_leave_any,DJ06,2019-01-01,26.4,2625,fevs:2019-prdf-level1
fevs_leave_other,DJ06,2019-01-01,9.7,2625,fevs:2019-prdf-level1
fevs_leave_outside,DJ06,2019-01-01,4.3,2625,fevs:2019-prdf-level1
fevs_leave_within,DJ06,2019-01-01,12.3,2625,fevs:2019-prdf-level1
fevs_engagement,DJ08,2019-01-01,71.5,2972,fevs:2019-prdf-level1
fevs_leave_any,DJ08,2019-01-01,23.9,2972,fevs:2019-prdf-level1
fevs_leave_other,DJ08,2019-01-01,8.9,2972,fevs:2019-prdf-level1
fevs_leave_outside,DJ08,2019-01-01,2.6,2972,fevs:2019-prdf-level1
fevs_leave_within,DJ08,2019-01-01,12.5,2972,fevs:2019-prdf-level1
fevs_engagement,DJ09,2019-01-01,78.6,4396,fevs:2019-prdf-level1
fevs_leave_any,DJ09,2019-01-01,29.1,4396,fevs:2019-prdf-level1
fevs_leave_other,DJ09,2019-01-01,10.0,4396,fevs:2019-prdf-level1
fevs_leave_outside,DJ09,2019-01-01,5.5,4396,fevs:2019-prdf-level1
fevs_leave_within,DJ09,2019-01-01,13.6,4396,fevs:2019-prdf-level1
fevs_engagement,DJ11,2019-01-01,71.3,459,fevs:2019-prdf-level1
fevs_leave_any,DJ11,2019-01-01,24.6,459,fevs:2019-prdf-level1
fevs_leave_other,DJ11,2019-01-01,11.1,459,fevs:2019-prdf-level1
fevs_leave_outside,DJ11,2019-01-01,4.1,459,fevs:2019-prdf-level1
fevs_leave_within,DJ11,2019-01-01,9.4,459,fevs:2019-prdf-level1
fevs_engagement,DJ12,2019-01-01,57.5,596,fevs:2019-prdf-level1
fevs_leave_any,DJ12,2019-01-01,42.7,596,fevs:2019-prdf-level1
fevs_leave_other,DJ12,2019-01-01,11.5,596,fevs:2019-prdf-level1
fevs_leave_outside,DJ12,2019-01-01,3.8,596,fevs:2019-prdf-level1
fevs_leave_within,DJ12,2019-01-01,27.3,596,fevs:2019-prdf-level1
fevs_engagement,DJ15,2019-01-01,68.5,1637,fevs:2019-prdf-level1
fevs_leave_any,DJ15,2019-01-01,23.3,1637,fevs:2019-prdf-level1
fevs_leave_other,DJ15,2019-01-01,8.0,1637,fevs:2019-prdf-level1
fevs_leave_outside,DJ15,2019-01-01,3.6,1637,fevs:2019-prdf-level1
fevs_leave_within,DJ15,2019-01-01,11.7,1637,fevs:2019-prdf-level1
fevs_engagement,DLLS,2019-01-01,76.4,1328,fevs:2019-prdf-level1
fevs_leave_any,DLLS,2019-01-01,35.8,1328,fevs:2019-prdf-level1
fevs_leave_other,DLLS,2019-01-01,10.9,1328,fevs:2019-prdf-level1
fevs_leave_outside,DLLS,2019-01-01,5.2,1328,fevs:2019-prdf-level1
fevs_leave_within,DLLS,2019-01-01,19.7,1328,fevs:2019-prdf-level1
fevs_engagement,DLMS,2019-01-01,61.5,877,fevs:2019-prdf-level1
fevs_leave_any,DLMS,2019-01-01,33.5,877,fevs:2019-prdf-level1
fevs_leave_other,DLMS,2019-01-01,14.7,877,fevs:2019-prdf-level1
fevs_leave_outside,DLMS,2019-01-01,3.5,877,fevs:2019-prdf-level1
fevs_leave_within,DLMS,2019-01-01,15.2,877,fevs:2019-prdf-level1
fevs_engagement,DLOW,2019-01-01,59.2,653,fevs:2019-prdf-level1
fevs_leave_any,DLOW,2019-01-01,44.0,653,fevs:2019-prdf-level1
fevs_leave_other,DLOW,2019-01-01,12.1,653,fevs:2019-prdf-level1
fevs_leave_outside,DLOW,2019-01-01,4.6,653,fevs:2019-prdf-level1
fevs_leave_within,DLOW,2019-01-01,27.2,653,fevs:2019-prdf-level1
fevs_engagement,DLPW,2019-01-01,70.1,488,fevs:2019-prdf-level1
fevs_leave_any,DLPW,2019-01-01,32.7,488,fevs:2019-prdf-level1
fevs_leave_other,DLPW,2019-01-01,7.6,488,fevs:2019-prdf-level1
